ID;Orden;Cliente;Tipo;Concepto;Oficina;Tráfico;Partner;Factura;Fecha factura;Moneda;Neto;IVA;Neto (local);IVA (local);Fecha económica;Fecha booking;No. asiento;Actualizado
2413;CGL25123856;JOINT PRODUCTION;income;IEX04;1000;sea;C0069 JOINT PRODUCTION;;27/02/2026;MXN;1.350,00;216;1.350,00;216;12/12/2025;12/12/2025;1-003755;02/03/2026 19:01
2410;CGL25123856;JOINT PRODUCTION;income;IAD02;1000;sea;C0069 JOINT PRODUCTION;;27/02/2026;MXN;14.400,00;2.304,00;14.400,00;2.304,00;12/12/2025;12/12/2025;1-003755;02/03/2026 19:01
2409;CGL25123856;JOINT PRODUCTION;income;IEX01;1000;sea;C0069 JOINT PRODUCTION;;27/02/2026;MXN;139.698,00;22.351,68;139.698,00;22.351,68;12/12/2025;12/12/2025;1-003755;02/03/2026 19:01
2408;CGL25123856;JOINT PRODUCTION;income;IEX04;1000;sea;C0069 JOINT PRODUCTION;;27/02/2026;MXN;1.437,00;229,92;1.437,00;229,92;12/12/2025;12/12/2025;1-003755;02/03/2026 19:01
2405;CGL25123856;JOINT PRODUCTION;income;IAT02;1000;sea;C0069 JOINT PRODUCTION;;27/02/2026;MXN;11.040,00;1.766,40;11.040,00;1.766,40;12/12/2025;12/12/2025;1-003755;02/03/2026 19:01
2403;CGL25123856;JOINT PRODUCTION;income;IAT02;1000;sea;C0069 JOINT PRODUCTION;;27/02/2026;MXN;51.621,59;8.259,45;51.621,59;8.259,45;12/12/2025;12/12/2025;1-003755;02/03/2026 19:01
2401;CGL25123856;JOINT PRODUCTION;income;PT01;1000;sea;C0069 JOINT PRODUCTION;;27/02/2026;MXN;147.805,00;0;147.805,00;0;12/12/2025;12/12/2025;1-003755;02/03/2026 19:01
2397;CGL26013995;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;7.200,00;1.152,00;7.200,00;1.152,00;26/01/2026;26/01/2026;1-003754;02/03/2026 19:01
2396;CGL26013995;JOINT PRODUCTION;income;IAT02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;43.448,27;6.951,72;43.448,27;6.951,72;26/01/2026;26/01/2026;1-003754;02/03/2026 19:01
2362;CGL26024016;JOINT PRODUCTION;income;ITR02;2000;road;C0081 JOINT PRODUCTION;;27/02/2026;MXN;22.000,00;3.520,00;22.000,00;3.520,00;03/02/2026;03/02/2026;2-003752;02/03/2026 19:01
2360;CGL26024058;JOINT PRODUCTION;income;IAT02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;2.755,94;440,95;2.755,94;440,95;06/02/2026;06/02/2026;1-003751;02/03/2026 19:01
2358;CGL26024058;JOINT PRODUCTION;income;PT01;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;383;0;383;0;06/02/2026;06/02/2026;1-003751;02/03/2026 19:01
2357;CGL26024058;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;7.200,00;1.152,00;7.200,00;1.152,00;06/02/2026;06/02/2026;1-003751;02/03/2026 19:01
2350;CGL26024080;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;14.400,00;2.304,00;14.400,00;2.304,00;13/02/2026;13/02/2026;1-003750;02/03/2026 19:01
2349;CGL26024080;JOINT PRODUCTION;income;IAT02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;51.938,30;8.310,13;51.938,30;8.310,13;13/02/2026;13/02/2026;1-003750;02/03/2026 19:01
2347;CGL26024079;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;7.200,00;1.152,00;7.200,00;1.152,00;13/02/2026;13/02/2026;1-003749;02/03/2026 19:01
