SERIE;FACTURA;REFERENCIA ;FECHA;CLIENTE;CLIENTE NOMBRE;COMPROBADOS;COMPLEMENTARIOS;IVA;SUBTOTAL;ANTICIPO;TOTAL;MONEDA;;;DOCUMENTACION, ALMACENAJES Y MANIOBRAS ( TER) ;IMPUESTOS ADUANALES (TER);;HONORARIOS ;REVALIDACION GUIA / BOL ;MANIOBRAS;ALMACENAJES;SERVICIOS LOGISTICOS;RECONOCIMIENTO ADUANERO ;DESCONSOLIDACION;SERVICIOS COMPLEMENTARIOS ;SERVICIOS EXTRAORDINARIO ;RECTIFICACIONES;LIMPIEZA DE CONTENEDOR ;DEMORAS;LIBERACIONES DOCUMENTOS;GASTOS EN DESTINO;SERVICIO DE MENSAJERIA ;CERTIFICADO DE ORIGEN ;;PROFIT;EJECUTIVO;T OPE;;;MXN;USD;TOTAL;PORCENTAJE;
1;1-003616;CGL26013929;28-ene-26;C0069;JOINT PRODUCTION HONOR ;845,00; 14.636,61 ;2.341,86;17.823,47;37.037,00;(19.213,53);MXN;;;0,00;845,00;;7.200,00;644,85;2.791,76;0,00;4.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;39%;ALONSO ;A;;;;;;;
1;1-003617;CGL26013932;29-ene-26;C0004;NAPS-GUANAJUATO AMERICAN BOA ;383,00; 15.458,72 ;2.473,40;18.315,12;18.315,12;(0,00);MXN;;;0,00;383,00;;7.200,00;0,00;2.995,86;0,00;0,00;2.262,86;0,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;32%;ALONSO ;A;;;;;;;
2;2-003619;CGL25123844;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 4.500,00 ;720,00;5.603,00;5.603,00;0,00;MXN;;;0,00;383,00;;4.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;44%;LOREFANY ;T;;;;;;;
2;2-003620;CGL26013952;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 4.200,00 ;672,00;5.255,00;5.255,00;0,00;MXN;;;0,00;383,00;;4.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;47%;LUIS ;T;;;;;;;
2;2-003621;CGL26013953;29-ene-26;C0081;JOINT PRODUCTION BLACK SMITH;0,00; 25.537,94 ;4.086,07;29.624,01;29.624,01;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;22.000,00;0,00;0,00;0,00;0,00;0,00;0,00;3.537,94;0,00;0,00;0,00;0,00; -   ;43%;LOREFANY ;T;;;;;;;
2;2-003622;CGL26013974;29-ene-26;C0081;JOINT PRODUCTION BLACK SMITH;0,00; 10.000,00 ;1.600,00;11.600,00;11.600,00;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;10.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;32%;LOREFANY ;T;;;;;;;
2;2-003623;CGL26013951;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 4.200,00 ;672,00;5.255,00;5.255,00;0,00;MXN;;;0,00;383,00;;4.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;47%;LUIS;T;;;;;;;
2;2-003625;CGL25123861;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;845,00; 4.500,00 ;720,00;6.065,00;6.065,00;0,00;MXN;;;0,00;845,00;;4.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;44%;LOREFANY ;T;;;;;;;
2;2-003626;CGL25123899;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 4.200,00 ;672,00;5.255,00;5.255,00;0,00;MXN;;;0,00;383,00;;4.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;47%;LOREFANY ;T;;;;;;;
2;2-003627;CGL25123900;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 4.200,00 ;672,00;5.255,00;5.255,00;0,00;MXN;;;0,00;383,00;;4.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;47%;LOREFANY ;T;;;;;;;
